date,python,java,cpp,csharp,c,javascript,sql,r,visual_basic,perl
2018-02,0.0,0.717019133937563,0.019115890083632014,0.29850746268656714,0.3866666666666666,0.4876325088339224,0.6554054054054054,0.6618357487922704,0.30038022813688214,0.7374301675977654
2018-03,0.03209536909674465,0.7119838872104732,0.10513739545997602,0.41417910447761186,0.4866666666666667,0.7561837455830389,0.8783783783783782,0.19806763285024148,0.2167300380228137,1.0
2018-04,0.028885832187070137,0.7965760322255792,0.19713261648745517,0.45149253731343264,0.5788888888888889,0.6042402826855124,0.8513513513513512,0.5265700483091786,0.22813688212927757,0.6089385474860335
2018-05,0.000917010545621294,0.8569989929506546,0.2508960573476702,0.28917910447761186,0.6244444444444445,0.4028268551236749,0.4054054054054054,0.22222222222222215,0.058935361216730056,0.26256983240223464
2018-06,0.027051811095827605,0.7552870090634441,0.33094384707287927,0.2723880597014924,0.728888888888889,0.2544169611307421,0.6418918918918918,0.35265700483091783,0.10456273764258554,0.3966480446927374
2018-07,0.05456212746446587,0.8328298086606244,0.24492234169653526,0.1753731343283581,0.6977777777777779,0.3710247349823321,0.6351351351351352,0.2077294685990338,0.05513307984790876,0.36871508379888274
2018-08,0.08344795965153601,0.9073514602215508,0.22700119474313019,0.12873134328358204,0.7322222222222224,0.22261484098939932,0.6283783783783782,0.1159420289855072,0.06083650190114069,0.4078212290502793
2018-09,0.11370930765703807,0.9637462235649549,0.21744324970131412,0.08395522388059695,0.7855555555555557,0.12367491166077738,0.45270270270270274,0.14492753623188404,0.015209125475285176,0.35195530726256985
2018-10,0.09124254928931685,1.0,0.24133811230585422,0.11940298507462688,0.777777777777778,0.1766784452296819,0.43918918918918914,0.23671497584541062,0.009505703422053244,0.4078212290502793
2018-11,0.11508482347546994,0.8942598187311178,0.3237753882915172,0.2052238805970149,0.668888888888889,0.3109540636042404,0.30405405405405406,0.3333333333333332,0.047528517110266164,0.3128491620111732
2018-12,0.1471801925722146,0.811681772406848,0.2377538829151732,0.11194029850746268,0.6555555555555556,0.45229681978798597,0.5337837837837839,0.18840579710144928,0.07224334600760456,0.3184357541899442
2019-01,0.14305364511691882,0.9093655589123867,0.30943847072879327,0.0802238805970148,0.5511111111111112,0.5371024734982333,0.6013513513513512,0.2946859903381643,0.08174904942965779,0.43575418994413406
2019-02,0.11004126547455301,0.8066465256797585,0.22341696535244926,0.0,0.448888888888889,0.37809187279151946,0.3445945945945946,0.1545893719806763,0.07414448669201522,0.36871508379888274
2019-03,0.14167812929848694,0.705941591137966,0.30585424133811234,0.07835820895522383,0.5477777777777778,0.22968197879858665,0.3648648648648648,0.2705314009661836,0.06653992395437262,0.4804469273743017
2019-04,0.13755158184319122,0.7220543806646526,0.3906810035842293,0.125,0.6333333333333334,0.25795053003533563,0.5945945945945946,0.22222222222222215,0.08745247148288975,0.46368715083798884
2019-05,0.12196240256762952,0.8187311178247735,0.3022700119474312,0.21082089552238803,0.6511111111111113,0.32155477031802115,0.7905405405405405,0.1111111111111111,0.13688212927756654,0.5307262569832402
2019-06,0.15405777166437412,0.718026183282981,0.21624850657108718,0.30410447761194026,0.5466666666666667,0.33215547703180215,0.5608108108108109,0.09178743961352659,0.08935361216730038,0.4078212290502793
2019-07,0.18752865657955065,0.7240684793554885,0.13500597371565115,0.28171641791044777,0.6477777777777779,0.18374558303886923,0.3986486486486486,0.0579710144927536,0.07794676806083649,0.26815642458100564
2019-08,0.2223750573131591,0.8217522658610273,0.05854241338112298,0.18470149253731338,0.7522222222222225,0.16961130742049457,0.16216216216216217,0.048309178743961345,0.07984790874524715,0.23463687150837984
2019-09,0.21549747822099952,0.8851963746223567,0.008363201911588902,0.1026119402985074,0.7588888888888891,0.12367491166077738,0.3716216216216216,0.15942028985507245,0.09125475285171104,0.34078212290502796
2019-10,0.17973406694176985,0.9073514602215508,0.07885304659498205,0.18843283582089543,0.8666666666666668,0.10600706713780916,0.3648648648648648,0.2608695652173913,0.1197718631178707,0.3240223463687151
